productID,product_name,product_price,number_of_ordered_items,order_status,customer_name,location,latitude,longitude,channel_of_ordering,date
P00018,Printer,424.77,5,Canceled,Andrew Jenkins,Virginia,37.769337,-78.169968,Physical,45304
P00021,Tablet,401.34,3,In Process,Amanda Cain,Pennsylvania,40.590752,-77.209755,Physical,45305
P00002,Scanner,135.26,1,Delivered,Eddie Ortiz,Ohio,40.388783,-82.764915,Social Media,45306
P00016,Drone,1458.91,3,In Process,Kyle Gomez,Connecticut,41.597782,-72.755371,Physical,45307
P00014,Keyboard,123.94,5,Canceled,Gabriel Green,Massachusetts,42.230171,-71.530106,Phone,45307
P00011,Laptop,1034.25,5,On Hold,James Davis,Massachusetts,42.230171,-71.530106,Phone,45307
P00019,USB Drive,14.7,2,In Process,Jacqueline Mckee,Florida,27.766279,-81.686783,Social Media,45308
P00006,Monitor,325.61,3,Canceled,Jennifer Moore,Ohio,40.388783,-82.764915,Mobile App,45308
P00003,Projector,608.77,2,Canceled,Amanda Herrera,Alabama,32.806671,-86.79113,Physical,45308
P00003,Drone,2677.86,2,Delivered,Meredith Robbins,Alaska,61.370716,-152.404419,Website,45308
P00018,Smart TV,1887.14,2,Delivered,Mary Cruz,Kansas,38.5266,-96.726486,Physical,45308
P00019,Projector,577.48,3,Canceled,Katelyn Diaz,Oregon,44.572021,-122.070938,Phone,45308
P00011,Router,88.29,5,Canceled,James Freeman,South Carolina,33.856892,-80.945007,Social Media,45309
P00020,Speaker,445.64,2,On Hold,Rachael Fisher,Pennsylvania,40.590752,-77.209755,Social Media,45309
P00002,Laptop,1751.44,2,Delivered,Todd Williams,Idaho,44.240459,-114.478828,Phone,45309
P00010,Router,110.85,1,Delivered,Rachel Clarke,Wisconsin,44.268543,-89.616508,Phone,45311
P00015,VR Headset,976.82,4,Canceled,Cynthia Campbell,Utah,40.150032,-111.862434,Social Media,45311
P00006,Headphones,222.21,4,Canceled,Anthony Brown,Utah,40.150032,-111.862434,Website,45311
P00014,Router,297.59,4,On Hold,Brandon Levy,Wyoming,42.755966,-107.30249,Website,45311
P00003,Router,146.51,1,Canceled,Sarah Collins,Montana,46.921925,-110.454353,Social Media,45312
P00014,USB Drive,26.81,2,Delivered,Elizabeth Saunders,Indiana,39.849426,-86.258278,Mobile App,45312
P00013,Printer,458.57,5,Delivered,Lisa Benitez,Missouri,38.456085,-92.288368,Social Media,45312
P00005,Smart Home Hub,130.92,3,In Process,Erica Marshall,Massachusetts,42.230171,-71.530106,Physical,45313
P00016,Camera,2680.21,2,On Hold,Lisa Bradford,Hawaii,21.094318,-157.498337,Physical,45314
P00013,Smart Home Hub,228.1,3,Canceled,Jennifer Craig,Montana,46.921925,-110.454353,Physical,45315
P00007,Camera,1365.9,2,On Hold,Ryan Campbell,Hawaii,21.094318,-157.498337,Mobile App,45315
P00015,Smart TV,684.64,3,Delivered,Benjamin Roberts,Vermont,44.045876,-72.710686,Phone,45315
P00010,VR Headset,959.39,5,Canceled,John Day,Hawaii,21.094318,-157.498337,Mobile App,45315
P00021,Drone,1560.64,4,Delivered,Paul Richardson,Oregon,44.572021,-122.070938,Website,45315
P00013,Monitor,847.39,3,On Hold,Brandon Jones,Oregon,44.572021,-122.070938,Social Media,45315
P00023,Headphones,90.8,4,Delivered,Dennis Sanchez,Tennessee,35.747845,-86.692345,Social Media,45316
P00011,Tablet,565.92,3,Delivered,Hannah Thomas,New Hampshire,43.452492,-71.563896,Physical,45316
P00003,Monitor,583.43,2,Canceled,Laura Mills,Washington,47.400902,-121.490494,Physical,45317
P00003,Graphics Card,1205.3,2,On Hold,Tracy Garza,Arkansas,34.969704,-92.373123,Website,45317
P00012,Router,143.52,2,Delivered,Jonathan Chaney,Connecticut,41.597782,-72.755371,Website,45318
P00010,Monitor,696.56,1,In Process,Phyllis Smith,South Carolina,33.856892,-80.945007,Social Media,45318
P00010,Speaker,350.27,1,On Hold,Andrew Cooper,California,36.116203,-119.681564,Website,45318
P00009,Smart TV,1520.96,4,On Hold,Katherine Simpson,Mississippi,32.741646,-89.678696,Social Media,45318
P00020,Gaming Console,302.21,5,Delivered,Lucas Vargas,North Carolina,35.630066,-79.806419,Physical,45318
P00002,Charger,37.71,4,On Hold,Frank Estrada,Georgia,33.040619,-83.643074,Social Media,45319
P00009,Gaming Console,377.24,4,Delivered,Maria West,Montana,46.921925,-110.454353,Mobile App,45319
P00015,Smart Home Hub,158.27,2,Delivered,Tammy Huang,Arkansas,34.969704,-92.373123,Mobile App,45319
P00003,Projector,445.49,5,On Hold,Christopher Howe MD,Mississippi,32.741646,-89.678696,Mobile App,45320
P00014,Scanner,171.68,2,Canceled,Sandy Lowery,Utah,40.150032,-111.862434,Mobile App,45320
P00007,USB Drive,28.88,4,In Process,Taylor Miller,Nevada,38.313515,-117.055374,Website,45321
P00011,Camera,1694.07,3,Delivered,Jesse Washington,Maryland,39.063946,-76.802101,Phone,45321
P00012,Speaker,216.68,5,On Hold,Daniel Gomez,Alaska,61.370716,-152.404419,Mobile App,45321
P00014,VR Headset,822.19,5,On Hold,Katherine Ramos,North Dakota,47.528912,-99.784012,Social Media,45322
P00018,Router,194.88,3,Delivered,James Lopez,New Hampshire,43.452492,-71.563896,Website,45322
P00011,Smart Home Hub,344.39,4,On Hold,Gregory Scott,Kentucky,37.66814,-84.670067,Phone,45322
P00013,Charger,21.86,1,On Hold,Frederick Hays,Delaware,39.318523,-75.507141,Mobile App,45323
P00004,Graphics Card,1013.09,2,Canceled,Juan Mckenzie,Kansas,38.5266,-96.726486,Mobile App,45323
P00010,USB Drive,35.38,3,In Process,Emily Mitchell,Pennsylvania,40.590752,-77.209755,Website,45323
P00006,Projector,593.55,1,Delivered,Chase Castillo,Connecticut,41.597782,-72.755371,Social Media,45323
P00023,Smartwatch,222.05,2,Delivered,Heather Turner,South Dakota,44.299782,-99.438828,Social Media,45323
P00001,VR Headset,618.85,1,On Hold,Matthew Baxter,California,36.116203,-119.681564,Phone,45323
P00001,Tablet,392.41,4,On Hold,Misty Robinson,Michigan,43.326618,-84.536095,Website,45324
P00013,Charger,26.99,4,Canceled,Jamie White,Nebraska,41.12537,-98.268082,Phone,45325
P00007,Projector,461.23,4,Canceled,Morgan Williamson,North Dakota,47.528912,-99.784012,Website,45325
P00012,Drone,2646.88,1,In Process,Kayla Brown,Massachusetts,42.230171,-71.530106,Website,45325
P00019,Smart Home Hub,246.47,3,Delivered,Mr. David Rice,Iowa,42.011539,-93.210526,Physical,45326
P00015,Power Bank,52.53,1,In Process,Jessica Martin,Connecticut,41.597782,-72.755371,Phone,45326
P00023,USB Drive,27.25,1,Delivered,Rebecca Novak,Vermont,44.045876,-72.710686,Website,45326
P00007,Laptop,623.94,2,On Hold,Kristina Harrison,Arizona,33.729759,-111.431221,Physical,45327
P00003,Smart Home Hub,176.78,5,On Hold,David Moore,Maryland,39.063946,-76.802101,Website,45327
P00004,VR Headset,207.54,5,Canceled,Jeffrey Williamson,Michigan,43.326618,-84.536095,Phone,45328
P00024,Tablet,641.25,2,Canceled,Kenneth Sanders,Louisiana,31.169546,-91.867805,Physical,45328
P00016,Smartwatch,479.41,3,Canceled,Mark White,Florida,27.766279,-81.686783,Phone,45328
P00007,Smartwatch,258.8,3,On Hold,Adam Clark,Mississippi,32.741646,-89.678696,Website,45328
P00003,Camera,2026.21,2,In Process,Ruben Cobb,Maine,44.693947,-69.381927,Phone,45328
P00010,Charger,14.18,1,In Process,Gina Hernandez,Iowa,42.011539,-93.210526,Social Media,45330
P00003,Smartwatch,342.13,5,Canceled,Melinda Thompson,Pennsylvania,40.590752,-77.209755,Social Media,45331
P00003,Projector,926.49,3,Canceled,Gary Little,California,36.116203,-119.681564,Social Media,45331
P00011,Tablet,729.69,5,Delivered,Travis Hughes,Vermont,44.045876,-72.710686,Phone,45331
P00007,USB Drive,38.19,1,Delivered,Deborah Powell,Maine,44.693947,-69.381927,Mobile App,45331
P00020,Headphones,119.12,4,Canceled,Heather Christensen,New Hampshire,43.452492,-71.563896,Mobile App,45332
P00001,Scanner,186.76,5,In Process,Tyrone Williams,New Mexico,34.840515,-106.248482,Mobile App,45333
P00013,Keyboard,27.68,5,Canceled,Christine Vaughn,Pennsylvania,40.590752,-77.209755,Mobile App,45333
P00003,Smart Home Hub,357.93,5,Canceled,Samuel Wilson,Georgia,33.040619,-83.643074,Social Media,45333
P00019,Power Bank,66.18,5,Canceled,Amanda Conway,Maine,44.693947,-69.381927,Phone,45333
P00023,Scanner,175.48,3,Delivered,Jennifer Marquez,South Carolina,33.856892,-80.945007,Website,45334
P00014,Router,269.48,3,On Hold,Krystal Swanson,Ohio,40.388783,-82.764915,Social Media,45334
P00023,VR Headset,711.17,4,On Hold,Michael Rivera,North Carolina,35.630066,-79.806419,Mobile App,45334
P00006,Charger,19.67,1,Canceled,Carolyn Espinoza,Wyoming,42.755966,-107.30249,Website,45334
P00014,Router,223.17,1,Canceled,Robert Love,Florida,27.766279,-81.686783,Phone,45335
P00019,Projector,239.78,5,Delivered,Danielle Oliver,Virginia,37.769337,-78.169968,Phone,45335
P00003,Router,139.35,5,Delivered,Kathleen Tran,Connecticut,41.597782,-72.755371,Physical,45335
P00018,Monitor,575.27,4,Delivered,John Ingram,Utah,40.150032,-111.862434,Social Media,45336
P00003,Drone,1654.17,4,Delivered,Mary Warren,Colorado,39.059811,-105.311104,Mobile App,45337
P00011,Hard Disk,137.6,2,Canceled,Cynthia Drake,Montana,46.921925,-110.454353,Social Media,45337
P00018,Monitor,725.35,3,Canceled,Amber Perez,Arizona,33.729759,-111.431221,Website,45337
P00018,Charger,16.08,4,On Hold,Lauren Curtis,Texas,31.054487,-97.563461,Social Media,45337
P00010,Camera,2190.44,5,Delivered,Robert Patton,Pennsylvania,40.590752,-77.209755,Physical,45338
P00004,Scanner,205.06,3,On Hold,Gabriel Martinez,Maine,44.693947,-69.381927,Phone,45338
P00018,Smart TV,632.27,4,Canceled,Stephanie Gonzalez,New York,42.165726,-74.948051,Phone,45338
P00024,Speaker,154.13,1,In Process,Anna Brown,Nevada,38.313515,-117.055374,Mobile App,45339
P00015,Gaming Console,596.38,3,Canceled,Ashley Miller,New Jersey,40.298904,-74.521011,Phone,45339
P00024,Mouse,11.78,3,On Hold,Cindy Castro,New Hampshire,43.452492,-71.563896,Website,45339
P00024,Speaker,181.93,5,Canceled,Kristopher Charles,Maine,44.693947,-69.381927,Social Media,45340
P00022,Hard Disk,96.68,3,In Process,Tiffany Green,Kentucky,37.66814,-84.670067,Phone,45340
P00015,Headphones,144.92,2,On Hold,James Reed,West Virginia,38.491226,-80.954456,Mobile App,45340
P00001,Speaker,462.49,1,On Hold,Marie Adams,Utah,40.150032,-111.862434,Physical,45340
P00022,Keyboard,111.4,1,On Hold,Hailey Huffman,Pennsylvania,40.590752,-77.209755,Phone,45341
P00015,VR Headset,834.7,4,Delivered,Elizabeth Combs,Nevada,38.313515,-117.055374,Website,45341
P00019,Tablet,344.11,1,Canceled,Jessica Ramsey,New Hampshire,43.452492,-71.563896,Mobile App,45341
P00007,USB Drive,39.33,3,Delivered,Heather Walker,Mississippi,32.741646,-89.678696,Mobile App,45342
P00020,Charger,46.78,5,On Hold,Ashley Waters,Oklahoma,35.565342,-96.928917,Mobile App,45342
P00014,Monitor,448.62,3,Delivered,Margaret Smith,Mississippi,32.741646,-89.678696,Physical,45342
P00023,Charger,23.15,4,Delivered,Michelle Morgan,North Carolina,35.630066,-79.806419,Social Media,45342
P00011,Printer,261.26,2,In Process,Brandon Melendez,Maryland,39.063946,-76.802101,Physical,45342
P00021,Mouse,55.42,1,In Process,John Potts,Massachusetts,42.230171,-71.530106,Mobile App,45344
P00022,Graphics Card,509.04,5,Delivered,Jacob Foster,Georgia,33.040619,-83.643074,Physical,45346
P00005,Printer,386.3,2,In Process,Michael Sanchez,North Carolina,35.630066,-79.806419,Phone,45346
P00011,Speaker,472.48,4,Canceled,James Rush,South Carolina,33.856892,-80.945007,Mobile App,45346
P00018,Mouse,27.46,4,Canceled,Shawn Wilkins,Florida,27.766279,-81.686783,Website,45346
P00022,Power Bank,58.63,3,Canceled,Brandy Herrera,Maine,44.693947,-69.381927,Phone,45347
P00019,Keyboard,146.61,2,Delivered,Ashley Torres,North Carolina,35.630066,-79.806419,Mobile App,45347
P00022,Gaming Console,724.12,1,Canceled,Joseph Fuentes,Virginia,37.769337,-78.169968,Mobile App,45347
P00003,Tablet,339.58,2,In Process,Kevin Ware DVM,Delaware,39.318523,-75.507141,Phone,45347
P00001,Smartphone,339.4,2,In Process,Steven Carter,Pennsylvania,40.590752,-77.209755,Mobile App,45348
P00014,Drone,2164.51,5,Canceled,Kayla Parks,New Hampshire,43.452492,-71.563896,Website,45348
P00016,VR Headset,309.11,4,On Hold,Mrs. Christine Pugh,Maryland,39.063946,-76.802101,Mobile App,45348
P00013,Printer,243.04,3,On Hold,David Robinson,North Carolina,35.630066,-79.806419,Social Media,45348
P00017,Smartphone,821.42,5,In Process,Rebecca Flores,South Carolina,33.856892,-80.945007,Website,45348
P00006,Speaker,358.33,4,Delivered,Lisa Wheeler,Maine,44.693947,-69.381927,Social Media,45348
P00009,Smart TV,671.96,3,In Process,Steven Oconnell,Illinois,40.349457,-88.986137,Social Media,45348
P00011,Power Bank,38.05,3,Canceled,Dennis Tapia,Vermont,44.045876,-72.710686,Physical,45348
P00022,Charger,21.66,3,In Process,Nathan Doyle,New Mexico,34.840515,-106.248482,Phone,45349
P00002,Mouse,69.72,1,On Hold,James Howe,Rhode Island,41.680893,-71.51178,Physical,45349
P00022,Drone,2564.92,4,On Hold,Calvin Vaughn,Oklahoma,35.565342,-96.928917,Website,45349
P00021,Camera,2150.67,4,Delivered,James White,North Carolina,35.630066,-79.806419,Physical,45349
P00001,Keyboard,140.39,5,Canceled,David Yates,Maryland,39.063946,-76.802101,Physical,45349
P00012,Tablet,426.73,1,Delivered,Richard Jimenez,Massachusetts,42.230171,-71.530106,Phone,45350
P00011,Laptop,1535.95,5,Canceled,Michael Robinson,South Dakota,44.299782,-99.438828,Social Media,45350
P00003,Drone,2132.04,3,On Hold,Mark Perry,Oklahoma,35.565342,-96.928917,Phone,45350
P00005,Router,111.78,2,In Process,Andrew Schwartz,Oregon,44.572021,-122.070938,Website,45350
P00016,Camera,615.13,5,Canceled,Angela Taylor,Tennessee,35.747845,-86.692345,Mobile App,45350
P00013,Smart TV,1339.64,5,Canceled,Carlos Young,Arkansas,34.969704,-92.373123,Phone,45351
P00017,Router,231.52,2,On Hold,James Ramirez,Nebraska,41.12537,-98.268082,Website,45351
P00008,Charger,17.12,2,Delivered,Erik Obrien,Tennessee,35.747845,-86.692345,Social Media,45351
P00017,Projector,467.47,3,On Hold,Mark Shaw,Alabama,32.806671,-86.79113,Phone,45351
P00024,USB Drive,26.99,2,Delivered,Dalton Smith,Wisconsin,44.268543,-89.616508,Social Media,45351
P00024,Tablet,330.38,1,Delivered,Ryan Phelps MD,Minnesota,45.694454,-93.900192,Physical,45351
P00020,USB Drive,42.3,4,On Hold,Kenneth Krueger,Colorado,39.059811,-105.311104,Physical,45352
P00019,Speaker,154.56,5,Canceled,Joseph Nelson,Iowa,42.011539,-93.210526,Phone,45352
P00023,USB Drive,7.36,5,Canceled,Victor Zhang,Oregon,44.572021,-122.070938,Phone,45352
P00015,Headphones,272.74,3,In Process,Joseph Hill,Florida,27.766279,-81.686783,Physical,45353
P00008,Power Bank,37.49,5,On Hold,Sheila Hale,Washington,47.400902,-121.490494,Phone,45353
P00002,Monitor,419.79,2,On Hold,Angela Perkins,Louisiana,31.169546,-91.867805,Website,45353
P00020,Power Bank,53.04,1,Canceled,Diana Gonzalez,Arizona,33.729759,-111.431221,Physical,45353
P00019,Power Bank,76.01,5,In Process,Stephanie Hawkins,Nebraska,41.12537,-98.268082,Physical,45353
P00006,Scanner,309.26,5,On Hold,Seth Welch,Arizona,33.729759,-111.431221,Social Media,45353
P00009,USB Drive,27.35,4,On Hold,Jason Torres,Mississippi,32.741646,-89.678696,Phone,45354
P00012,Speaker,489.96,2,Canceled,James Ferguson,Wyoming,42.755966,-107.30249,Physical,45354
P00010,Monitor,409.6,4,On Hold,Emily Ruiz,Arkansas,34.969704,-92.373123,Mobile App,45356
P00012,Laptop,1602.76,2,Delivered,Kimberly Valdez,New York,42.165726,-74.948051,Social Media,45357
P00016,Projector,753.88,2,In Process,Eric Weiss,Louisiana,31.169546,-91.867805,Physical,45357
P00024,Printer,471.85,4,Delivered,Alexander Salazar,California,36.116203,-119.681564,Physical,45357
P00018,Tablet,424,3,In Process,Jeffrey Aguilar,Colorado,39.059811,-105.311104,Mobile App,45357
P00017,Monitor,349.37,5,On Hold,Jennifer White,Oklahoma,35.565342,-96.928917,Social Media,45359
P00016,Speaker,293.28,3,On Hold,Christina Ingram,Indiana,39.849426,-86.258278,Website,45359
P00007,Drone,2339.46,4,Canceled,Mitchell Williams,Rhode Island,41.680893,-71.51178,Physical,45360
P00003,Speaker,363.41,3,In Process,Terri Lopez,Wisconsin,44.268543,-89.616508,Mobile App,45360
P00023,USB Drive,22.52,1,On Hold,Eric Washington,Nevada,38.313515,-117.055374,Phone,45360
P00024,Mouse,65.2,4,Delivered,Heather Adams,New Jersey,40.298904,-74.521011,Social Media,45360
P00007,USB Drive,17.15,2,Canceled,William Patel,Rhode Island,41.680893,-71.51178,Physical,45360
P00024,Monitor,680.74,5,Canceled,Stacey Hall,North Carolina,35.630066,-79.806419,Website,45360
P00016,Tablet,580.1,5,Delivered,Megan Cummings,California,36.116203,-119.681564,Mobile App,45360
P00004,Laptop,1771.07,4,On Hold,Cynthia Brown,Louisiana,31.169546,-91.867805,Website,45360
P00009,Monitor,767.79,4,On Hold,Elizabeth Johnson,Mississippi,32.741646,-89.678696,Phone,45360
P00021,Scanner,321.3,4,Delivered,Anthony Mays,North Carolina,35.630066,-79.806419,Phone,45361
P00015,Headphones,176.98,4,Delivered,Kendra Anderson,North Dakota,47.528912,-99.784012,Social Media,45361
P00018,Hard Disk,161.39,5,On Hold,Billy Wise,Wisconsin,44.268543,-89.616508,Phone,45361
P00003,Monitor,875.7,2,On Hold,Karen Peterson,West Virginia,38.491226,-80.954456,Website,45362
P00017,Smart TV,308.09,5,In Process,Christopher Gibbs,Florida,27.766279,-81.686783,Social Media,45363
P00009,Speaker,425.14,3,Canceled,John Potts,Vermont,44.045876,-72.710686,Social Media,45363
P00011,Graphics Card,271.28,1,In Process,Sarah Hunter,Colorado,39.059811,-105.311104,Social Media,45364
P00011,VR Headset,468.74,5,Canceled,Donna Mack,New Jersey,40.298904,-74.521011,Phone,45365
P00015,Camera,629.16,1,Canceled,Kenneth Collier,Vermont,44.045876,-72.710686,Phone,45365
P00005,Smart Home Hub,312.45,5,In Process,Ryan Gonzalez,Montana,46.921925,-110.454353,Phone,45365
P00024,Scanner,367.3,3,Canceled,James Faulkner,Mississippi,32.741646,-89.678696,Social Media,45365
P00005,Smartphone,1015.65,5,On Hold,Barbara Rogers,West Virginia,38.491226,-80.954456,Mobile App,45366
P00018,Scanner,336.31,1,Delivered,Alexis Simpson,North Carolina,35.630066,-79.806419,Physical,45367
P00011,Power Bank,90.46,1,In Process,Isaiah Thornton,Arizona,33.729759,-111.431221,Mobile App,45367
P00005,Power Bank,96.47,2,On Hold,Jessica Allen,Hawaii,21.094318,-157.498337,Mobile App,45369
P00010,Gaming Console,629.91,3,Delivered,Brandon Smith,Mississippi,32.741646,-89.678696,Physical,45369
P00002,Smart TV,300.36,2,On Hold,Adrian Cook,Montana,46.921925,-110.454353,Social Media,45369
P00021,Smart TV,1215.79,5,Delivered,Alexander Winters,West Virginia,38.491226,-80.954456,Physical,45369
P00006,Smart TV,1798.12,2,On Hold,Lisa Rivera,New York,42.165726,-74.948051,Social Media,45369
P00020,Monitor,351.61,5,In Process,Barbara Williams DVM,Oregon,44.572021,-122.070938,Physical,45369
P00023,VR Headset,585.71,4,Canceled,Sheryl Hill,New Mexico,34.840515,-106.248482,Physical,45370
P00018,Laptop,960.01,5,In Process,Taylor Lawson,Georgia,33.040619,-83.643074,Social Media,45370
P00019,Scanner,397.27,1,On Hold,Ana Hernandez,Maryland,39.063946,-76.802101,Social Media,45370
P00015,Camera,2742.65,1,Delivered,Dean Morales,Connecticut,41.597782,-72.755371,Phone,45372
P00010,USB Drive,13.35,1,Canceled,Patricia Wang,Idaho,44.240459,-114.478828,Website,45372
P00008,Laptop,712.97,1,In Process,Leslie Cain MD,Delaware,39.318523,-75.507141,Social Media,45372
P00009,VR Headset,503.2,5,In Process,Desiree Ali,Vermont,44.045876,-72.710686,Mobile App,45373
P00021,Projector,237.43,2,On Hold,Debbie Hudson,Montana,46.921925,-110.454353,Mobile App,45373
P00018,Drone,1300.23,5,In Process,Norma Aguilar,Wyoming,42.755966,-107.30249,Phone,45373
P00010,Mouse,79.39,1,On Hold,Jessica Ferrell,Maine,44.693947,-69.381927,Website,45373
P00004,Smart TV,1984.22,4,Canceled,Theresa Lee,Connecticut,41.597782,-72.755371,Phone,45373
P00010,Smartphone,719.42,5,Canceled,Timothy Miller,Indiana,39.849426,-86.258278,Physical,45373
P00006,Smartphone,1050.69,2,Delivered,Emily Vazquez,New York,42.165726,-74.948051,Mobile App,45374
P00011,Headphones,65.71,2,On Hold,Rebecca York,West Virginia,38.491226,-80.954456,Mobile App,45374
P00005,Keyboard,56.18,4,Delivered,Steven Baker,California,36.116203,-119.681564,Physical,45374
P00022,Charger,14.68,4,On Hold,Matthew Graham MD,Arkansas,34.969704,-92.373123,Phone,45375
P00003,Headphones,100.99,1,Canceled,Michael Farley,New York,42.165726,-74.948051,Mobile App,45376
P00001,Gaming Console,461.13,3,Delivered,Ryan Lynch,Wyoming,42.755966,-107.30249,Social Media,45376
P00006,Gaming Console,618.51,2,Canceled,Jack Ramos,Kentucky,37.66814,-84.670067,Mobile App,45377
P00015,VR Headset,700.44,3,On Hold,Casey Duran,Texas,31.054487,-97.563461,Website,45377
P00010,Camera,1815.83,3,On Hold,Paul Howard,Oregon,44.572021,-122.070938,Mobile App,45379
P00010,Smartphone,867.39,4,Delivered,Jessica Klein,Kentucky,37.66814,-84.670067,Physical,45379
P00015,Charger,46.95,4,Delivered,Amber Tucker,North Dakota,47.528912,-99.784012,Phone,45379
P00001,Keyboard,146.25,5,In Process,Matthew Hines,Georgia,33.040619,-83.643074,Social Media,45379
P00005,USB Drive,12.19,4,In Process,Larry Lee,Alaska,61.370716,-152.404419,Physical,45379
P00023,Smart TV,1811.31,1,On Hold,Jill Small,Kentucky,37.66814,-84.670067,Phone,45381
P00005,Speaker,173.78,4,Delivered,Peter Pittman,Iowa,42.011539,-93.210526,Physical,45381
P00004,Graphics Card,1305.28,4,Canceled,Jacqueline Harris,Tennessee,35.747845,-86.692345,Social Media,45382
P00015,Smartwatch,354.17,3,On Hold,Michelle Garcia,Georgia,33.040619,-83.643074,Mobile App,45382
P00002,Keyboard,76.54,1,In Process,Lisa Reid,Georgia,33.040619,-83.643074,Social Media,45382
P00024,Headphones,203.78,4,In Process,Christopher Colon,Ohio,40.388783,-82.764915,Mobile App,45382
P00023,Tablet,217.71,2,In Process,William Rice,Rhode Island,41.680893,-71.51178,Physical,45383
P00007,Keyboard,134.24,5,On Hold,Allen Watson,Indiana,39.849426,-86.258278,Phone,45383
P00024,Drone,1319.44,2,In Process,Diana Martinez DDS,Georgia,33.040619,-83.643074,Website,45384
P00023,Gaming Console,585.38,4,Canceled,Garrett Byrd,Louisiana,31.169546,-91.867805,Website,45384
P00020,Smartwatch,457.8,4,Delivered,Brooke Smith,New Mexico,34.840515,-106.248482,Phone,45384
P00006,Charger,15.68,1,In Process,Tanner Miller,New Jersey,40.298904,-74.521011,Phone,45384
P00021,Router,85.56,5,On Hold,Melinda Taylor,Maine,44.693947,-69.381927,Physical,45384
P00011,Smartphone,1088.14,2,In Process,Nancy Smith,Washington,47.400902,-121.490494,Website,45384
P00018,VR Headset,723.84,4,Delivered,Stephanie Griffin,Mississippi,32.741646,-89.678696,Website,45384
P00016,Speaker,193.16,1,Delivered,Megan Lee,Wisconsin,44.268543,-89.616508,Phone,45385
P00008,Camera,2450.08,1,In Process,Toni Wood,West Virginia,38.491226,-80.954456,Phone,45385
